today, current_time, dataset, _attack, _setup,  _targeted_tex, evasion_rate,  detection_rate_general,  accuracy, balanced_accuracy_s,  fscore_micro_prfs, fscore_macro_prfs, mean_l0,"	max_l0", mean_l2,"	max_l2","	mean_li","	max_li"," 		adv_range","	 adv_bin","	adv_cat"
Nov-26-2021,20:26:11,WSN-DS,NA,No Attack,,1.84%,98.16%,98.54%,91.26%,98.54%,90.86%,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
Nov-26-2021,20:26:31,WSN-DS,White-box,BasicIterativeMethod,Targeted,3.20%,96.80%,95.53%,64.21%,95.53%,62.66%,10.86,16,0.1,0.8,0.06,0.3,60.7,59.74,0
Nov-26-2021,20:26:50,WSN-DS,White-box,BasicIterativeMethod,Untargeted,6.54%,93.46%,95.66%,59.58%,95.66%,57.21%,10.92,16,0.1,0.96,0.06,0.3,59.83,60.63,0
Nov-26-2021,20:27:07,WSN-DS,Black-box,BoundaryAttack,Targeted,0.86%,99.14%,98.64%,92.30%,98.64%,91.42%,3.18,16,0.0,0.18,0.0,0.31,0.0,1.06,0
Nov-26-2021,20:27:27,WSN-DS,Black-box,BoundaryAttack,Untargeted,26.18%,73.82%,92.18%,31.09%,92.18%,32.79%,14.77,16,0.01,0.92,0.04,0.78,0.0,99.64,0
Nov-26-2021,20:27:45,WSN-DS,White-box,CarliniL2Method,Targeted,1.31%,98.69%,99.73%,98.53%,99.73%,98.13%,4.87,16,0.0,0.27,0.01,0.51,0.0,12.87,0
Nov-26-2021,20:28:01,WSN-DS,White-box,CarliniL2Method,Untargeted,13.52%,86.48%,95.04%,63.42%,95.04%,66.36%,8.0,16,0.02,4.42,0.04,0.99,0.0,37.91,0
Nov-26-2021,20:28:18,WSN-DS,White-box,CarliniLInfMethod,Targeted,1.28%,98.72%,99.72%,98.52%,99.72%,98.11%,4.86,16,0.0,0.4,0.01,0.3,0.0,12.78,0
Nov-26-2021,20:28:36,WSN-DS,White-box,CarliniLInfMethod,Untargeted,18.96%,81.04%,93.84%,54.89%,93.84%,54.36%,9.65,16,0.05,1.38,0.07,0.3,0.0,50.92,0
Nov-26-2021,20:28:55,WSN-DS,White-box,DeepFool,Untargeted,24.11%,75.89%,93.88%,48.30%,93.88%,48.15%,14.06,16,79223.96,2499963.65,55.63,1453.48,84.77,85.35,0
Nov-26-2021,20:29:13,WSN-DS,White-box,ElasticNet,Targeted,0.03%,99.97%,99.85%,99.90%,99.85%,98.86%,3.34,14,0.0,2.66,0.0,0.92,0.0,0.71,0
Nov-26-2021,20:29:32,WSN-DS,White-box,ElasticNet,Untargeted,12.21%,87.79%,93.51%,47.13%,93.51%,44.13%,4.55,16,0.0,0.6,0.02,0.54,0.0,4.86,0
Nov-26-2021,20:29:50,WSN-DS,White-box,FastGradientMethod,Targeted,10.11%,89.89%,95.17%,59.47%,95.17%,58.49%,10.97,16,0.87,1.44,0.18,0.3,60.71,60.71,0
Nov-26-2021,20:30:08,WSN-DS,White-box,FastGradientMethod,Untargeted,12.85%,87.15%,95.71%,60.06%,95.71%,58.78%,10.97,16,0.87,1.44,0.18,0.3,60.71,60.71,0
Nov-26-2021,20:30:27,WSN-DS,White-box,HopSkipJump,Targeted,0.75%,99.25%,98.65%,92.41%,98.65%,91.48%,3.17,16,0.0,0.03,0.0,0.17,0.0,1.09,0
Nov-26-2021,20:30:47,WSN-DS,White-box,HopSkipJump,Untargeted,18.33%,81.67%,91.35%,25.18%,91.35%,26.39%,13.79,16,0.01,1.21,0.05,0.86,0.0,98.51,0
Nov-26-2021,20:31:10,WSN-DS,White-box,NewtonFool,Untargeted,16.85%,83.15%,95.25%,60.40%,95.25%,61.47%,13.45,16,752.49,379491.01,2.29,604.42,79.66,84.01,0
Nov-26-2021,20:31:30,WSN-DS,White-box,ProjectedGradientDescent,Targeted,3.20%,96.80%,95.53%,64.21%,95.53%,62.66%,10.86,16,0.1,0.8,0.06,0.3,60.7,59.74,0
Nov-26-2021,20:31:50,WSN-DS,White-box,ProjectedGradientDescent,Untargeted,6.54%,93.46%,95.66%,59.58%,95.66%,57.21%,10.92,16,0.1,0.96,0.06,0.3,59.83,60.63,0
Nov-26-2021,20:32:08,WSN-DS,White-box,TargetedUniversalPerturbation-deepfool,Untargeted,0.06%,99.94%,94.56%,40.53%,94.56%,32.94%,16.0,16,1.44,1.44,0.3,0.3,100.0,100.0,0
Nov-26-2021,20:32:27,WSN-DS,White-box,TargetedUniversalPerturbation-fgsm,Untargeted,0.06%,99.94%,94.56%,40.53%,94.56%,32.94%,16.0,16,1.44,1.44,0.3,0.3,100.0,100.0,0
Nov-26-2021,20:32:46,WSN-DS,White-box,UniversalPerturbation-bim,Untargeted,10.98%,89.02%,92.14%,37.14%,92.14%,26.11%,9.0,9,0.32,0.32,0.2,0.2,99.99,100.0,0
Nov-26-2021,20:33:06,WSN-DS,White-box,UniversalPerturbation-carlini,Untargeted,1.92%,98.08%,92.29%,38.78%,92.29%,27.05%,16.0,16,0.27,0.27,0.42,0.42,100.0,100.0,0
Nov-26-2021,20:33:25,WSN-DS,White-box,UniversalPerturbation-carlini_inf,Untargeted,97.78%,2.22%,90.83%,22.48%,90.83%,23.56%,16.0,16,0.84,0.84,0.36,0.36,100.0,100.0,0
Nov-26-2021,20:33:44,WSN-DS,White-box,UniversalPerturbation-deepfool,Untargeted,100.00%,0.00%,90.62%,19.97%,90.62%,19.02%,16.0,16,1318.98,1318.98,10.0,10.0,100.0,100.0,0
Nov-26-2021,20:34:03,WSN-DS,White-box,UniversalPerturbation-fgsm,Untargeted,0.01%,99.99%,94.52%,39.99%,94.52%,31.85%,15.0,15,2.16,2.16,0.6,0.6,100.0,100.0,0
Nov-26-2021,20:34:19,WSN-DS,White-box,UniversalPerturbation-newtonfool,Untargeted,100.00%,0.00%,90.62%,19.97%,90.62%,19.02%,16.0,16,118.93,118.93,10.0,10.0,100.0,100.0,0
Nov-26-2021,20:34:36,WSN-DS,White-box,UniversalPerturbation-pgd,Untargeted,99.95%,0.05%,90.63%,20.02%,90.63%,19.11%,16.0,16,2.16,2.16,0.6,0.6,100.0,100.0,0
Nov-26-2021,20:34:52,WSN-DS,Black-box,ZooAttack,Targeted,4.78%,95.22%,97.39%,84.73%,97.39%,84.10%,1.92,16,0.0,0.0,0.0,0.03,12.07,12.56,0
